Session,Channel,Network,ADAPT,TP,FP,FN,Precision,Recall,F1,Mean_Latency,Num_Spikes,Num_Ripples
2025-09-24_10-24-40,30,adapt20_3b,120,71,83,21,0.461038961038961,0.7717391304347826,0.5772357723577236,24.268544600940285,975,92
2025-09-23_15-50-26,28,adapt20_3b,120,133,114,6,0.5384615384615384,0.9568345323741008,0.689119170984456,22.560651629072908,2307,139
2025-09-22_17-55-26,26,adapt20_3b,120,174,170,11,0.5058139534883721,0.9405405405405406,0.6578449905482041,20.16053639846649,3746,185
2025-09-25_16-41-14,21,adapt20_3b,120,127,185,17,0.40705128205128205,0.8819444444444444,0.5570175438596491,24.292125984248806,2903,144
2025-09-24_14-22-55,25,adapt20_3b,120,264,179,0,0.5959367945823928,1.0,0.7468175388967468,8.701515151515677,11176,264
2025-09-24_15-13-10,14,adapt20_3b,120,84,52,0,0.6176470588235294,1.0,0.7636363636363637,16.757539682539836,1789,84
2025-09-24_16-29-07,5,adapt20_3b,120,40,313,0,0.11331444759206799,1.0,0.20356234096692113,14.187500000000194,2543,40
2025-09-24_17-38-17,13,adapt20_3b,120,15,146,0,0.09316770186335403,1.0,0.17045454545454544,16.94444444443543,737,15
2025-09-24_15-13-10,14,adapt20_3b,20,83,46,1,0.6434108527131783,0.9880952380952381,0.779342723004695,17.4373493975904,1762,84
2025-09-23_15-50-26,28,adapt20_3b,20,129,121,10,0.516,0.9280575539568345,0.6632390745501285,23.054780361758016,2285,139
2025-09-25_16-41-14,21,adapt20_3b,20,129,170,15,0.431438127090301,0.8958333333333334,0.582392776523702,24.644444444441497,2735,144
2025-09-22_17-55-26,26,adapt20_3b,20,175,164,10,0.5162241887905604,0.9459459459459459,0.6679389312977099,20.333714285713498,3765,185
2025-09-24_10-24-40,30,adapt20_3b,20,69,82,23,0.45695364238410596,0.75,0.5679012345679013,26.542028985508534,983,92
2025-09-24_14-22-55,25,adapt20_3b,20,264,160,0,0.6226415094339622,1.0,0.7674418604651162,9.012121212121738,11078,264
2025-09-24_17-38-17,13,adapt20_3b,20,15,148,0,0.09202453987730061,1.0,0.16853932584269662,12.74444444443543,813,15
2025-09-24_16-29-07,5,adapt20_3b,20,39,294,1,0.11711711711711711,0.975,0.20911528150134048,11.335897435897783,2659,40
2025-09-24_15-13-10,14,adapt20_3b,2,82,51,2,0.6165413533834586,0.9761904761904762,0.7557603686635945,16.76097560975621,1808,84
2025-09-23_15-50-26,28,adapt20_3b,2,127,117,12,0.5204918032786885,0.9136690647482014,0.6631853785900783,21.561942257217876,2139,139
2025-09-24_14-22-55,25,adapt20_3b,2,264,153,0,0.6330935251798561,1.0,0.7753303964757708,9.421212121212646,10956,264
2025-09-24_10-24-40,30,adapt20_3b,2,58,80,34,0.42028985507246375,0.6304347826086957,0.5043478260869565,26.827586206898246,772,92
2025-09-22_17-55-26,26,adapt20_3b,2,164,117,21,0.5836298932384342,0.8864864864864865,0.7038626609442059,19.786585365852872,3204,185
2025-09-25_16-41-14,21,adapt20_3b,2,127,189,17,0.40189873417721517,0.8819444444444444,0.5521739130434783,25.108136482937027,2667,144
2025-09-24_16-29-07,5,adapt20_3b,2,39,284,1,0.12074303405572756,0.975,0.21487603305785127,13.006837606837706,2723,40
2025-09-24_17-38-17,13,adapt20_3b,2,15,157,0,0.0872093023255814,1.0,0.16042780748663102,13.34444444443543,876,15
2025-09-24_15-13-10,14,adapt20_3b,0,84,51,0,0.6222222222222222,1.0,0.7671232876712328,17.186111111111263,1764,84
2025-09-24_14-22-55,25,adapt20_3b,0,264,144,0,0.6470588235294118,1.0,0.7857142857142858,9.887121212121738,10585,264
2025-09-23_15-50-26,28,adapt20_3b,0,134,116,5,0.536,0.9640287769784173,0.6889460154241646,22.296268656716627,2390,139
2025-09-24_10-24-40,30,adapt20_3b,0,67,86,25,0.43790849673202614,0.7282608695652174,0.546938775510204,23.94129353234014,939,92
2025-09-25_16-41-14,21,adapt20_3b,0,128,168,16,0.43243243243243246,0.8888888888888888,0.5818181818181818,25.869791666663332,2802,144
2025-09-22_17-55-26,26,adapt20_3b,0,176,178,9,0.4971751412429379,0.9513513513513514,0.653061224489796,19.61666666666593,3929,185
2025-09-24_16-29-07,5,adapt20_3b,0,39,294,1,0.11711711711711711,0.975,0.20911528150134048,12.824786324786274,2539,40
2025-09-24_17-38-17,13,adapt20_3b,0,15,159,0,0.08620689655172414,1.0,0.15873015873015872,14.477777777768763,793,15
2025-09-24_14-22-55,25,dsb4updn_median_200_11b,120,264,39,0,0.8712871287128713,1.0,0.9312169312169313,19.5727272727278,8870,264
2025-09-22_17-55-26,26,dsb4updn_median_200_11b,120,174,113,11,0.6062717770034843,0.9405405405405406,0.7372881355932204,40.469540229884466,2364,185
2025-09-23_15-50-26,28,dsb4updn_median_200_11b,120,125,85,14,0.5952380952380952,0.8992805755395683,0.7163323782234957,40.36666666666644,1382,139
2025-09-24_15-13-10,14,dsb4updn_median_200_11b,120,81,17,3,0.826530612244898,0.9642857142857143,0.8901098901098902,30.40946502057655,1315,84
2025-09-24_10-24-40,30,dsb4updn_median_200_11b,120,62,66,30,0.484375,0.6739130434782609,0.5636363636363637,45.6994623655926,647,92
2025-09-25_16-41-14,21,dsb4updn_median_200_11b,120,119,144,25,0.4524714828897338,0.8263888888888888,0.5847665847665847,42.040616246495624,1738,144
2025-09-24_17-38-17,13,dsb4updn_median_200_11b,120,15,106,0,0.12396694214876033,1.0,0.22058823529411764,40.87777777776876,534,15
2025-09-24_16-29-07,5,dsb4updn_median_200_11b,120,36,227,4,0.13688212927756654,0.9,0.23762376237623764,37.08240740740703,1656,40
2025-09-24_10-24-40,30,dsb4updn_median_200_11b,20,63,54,29,0.5384615384615384,0.6847826086956522,0.6028708133971292,45.81640211640375,619,92
